metric_month,supplier_id,supplier_name,total_orders,total_parts_ordered,total_parts_received,total_spend,defect_count,defect_rate_pct,on_time_delivery_count,on_time_delivery_pct,avg_lead_time_days,quality_score,dq_load_date
2024-01,SUP001,Honeywell Aerospace,2,12,12,132000.00,0,0.00,2,100.00,45.0,5.0,2024-02-01
2024-01,SUP002,Collins Aerospace,1,1,1,85000.00,0,0.00,1,100.00,120.0,5.0,2024-02-01
2024-01,SUP003,Parker Hannifin,0,0,0,0.00,0,0.00,0,0.00,0.0,5.0,2024-02-01
2024-01,SUP005,Moog Inc,2,4,4,42000.00,1,25.00,1,50.00,45.0,3.5,2024-02-01
2024-01,SUP006,TransDigm Group,1,5,5,27500.00,0,0.00,1,100.00,30.0,5.0,2024-02-01
2024-01,SUP008,Heico Corporation,0,0,0,0.00,0,0.00,0,0.00,0.0,5.0,2024-02-01
2024-01,SUP009,Kaman Aerospace,1,6,6,53400.00,2,33.33,0,0.00,60.0,2.5,2024-02-01
2024-01,SUP013,GKN Aerospace,2,8,8,100000.00,0,0.00,2,100.00,75.0,5.0,2024-02-01
2024-01,SUP014,Magellan Aerospace,0,0,0,0.00,0,0.00,0,0.00,0.0,5.0,2024-02-01
2024-02,SUP001,Honeywell Aerospace,1,8,8,33600.00,0,0.00,1,100.00,30.0,5.0,2024-03-01
2024-02,SUP002,Collins Aerospace,1,5,5,9450.00,0,0.00,1,100.00,14.0,5.0,2024-03-01
2024-02,SUP003,Parker Hannifin,2,5,5,21600.00,0,0.00,2,100.00,30.0,5.0,2024-03-01
2024-02,SUP005,Moog Inc,0,0,0,0.00,0,0.00,0,0.00,0.0,5.0,2024-03-01
2024-02,SUP006,TransDigm Group,1,8,8,22400.00,0,0.00,1,100.00,21.0,5.0,2024-03-01
2024-02,SUP008,Heico Corporation,1,4,4,13600.00,1,25.00,0,0.00,30.0,3.5,2024-03-01
2024-02,SUP009,Kaman Aerospace,0,0,0,0.00,0,0.00,0,0.00,0.0,5.0,2024-03-01
2024-02,SUP010,CIRCOR International,1,12,11,7800.00,1,9.09,0,0.00,14.0,4.0,2024-03-01
2024-02,SUP011,Triumph Group,1,5,4,7250.00,2,50.00,0,0.00,21.0,1.5,2024-03-01
2024-02,SUP014,Magellan Aerospace,2,4,4,52000.00,0,0.00,2,100.00,90.0,5.0,2024-03-01
2024-02,SUP015,Boeing Distribution,1,5,5,9450.00,0,0.00,1,100.00,14.0,5.0,2024-03-01
2024-03,SUP001,Honeywell Aerospace,2,13,13,56000.00,0,0.00,2,100.00,30.0,5.0,2024-04-01
2024-03,SUP003,Parker Hannifin,1,4,4,7400.00,0,0.00,0,0.00,21.0,4.5,2024-04-01
2024-03,SUP005,Moog Inc,1,2,1,19600.00,0,0.00,1,100.00,45.0,5.0,2024-04-01
2024-03,SUP006,TransDigm Group,1,3,3,12900.00,0,0.00,1,100.00,45.0,5.0,2024-04-01
2024-03,SUP007,Ducommun Inc,1,6,6,17400.00,0,0.00,1,100.00,21.0,5.0,2024-04-01
